id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path
1180455,"Water, Klimaat en Film",8.0,1.0,Released,1911.0,1.0,0.0,500.0,,nl,"Water, Klimaat en Film",,0.0071,,Documentary,,,Nederlands,"arnold aap, worm, iglo de ijsbeer, ben de omgehakte boom",M. Livier,,M. Livier,,,,,/aojtoiyrK3yUOKtUcbCtgnSdvIa.jpg
96128,Traffic in Souls,5.0,22.0,Released,1913.0,1800000.0,88.0,5700.0,tt0003471,en,Traffic in Souls,"A woman, with the aid of her police officer sweetheart, endeavors to uncover the prostitution ring that has kidnapped her sister, and the philanthropist who secretly runs it.",0.2861,,"Crime, Drama",Independent Moving Pictures Co. of America (IMP),United States of America,"No Language, English","William Welsh, Ethel Grandin, Luray Huntley, Irene Wallace, W.H. Bainbridge, Matt Moore, Millie Liston, Jane Gail, William Cavanaugh, Arthur Hunter, William Powers, William H. Turner, Howard Crampton",George Loane Tucker,,,,,6.0,797.0,/m1n4TslM0zpOZ3AEDdUifz964RC.jpg
572090,Neptune's Daughter,1.0,2.0,Released,1914.0,1000000.0,95.0,50000.0,tt0004391,en,Neptune's Daughter,"The daughter of King Neptune takes on human form to avenge the death of her young sister, who was caught in a fishing net. However, she falls in love with the king, the man she holds responsible.",0.5247,,Fantasy,Universal Film Manufacturing Company,United States of America,No Language,"Leah Baird, William Welsh, Mrs. Herbert Brenon, Annette Kellerman, Edmund Mortimer, Lewis Hooper, Edward Boring, Millie Liston, Katherine Lee, Mrs. Allen Walker, William E. Shay",Herbert Brenon,André Barlatier,Leslie T. Peacocke,,,5.5,72.0,/fdbrbj9VfYrOMGQQ0vbF4An08Sx.jpg
468031,The Rose of the Rancho,4.0,1.0,Released,1914.0,87028.0,50.0,16988.0,tt0004545,en,The Rose of the Rancho,"Esra Kincaid takes land by force and, having taken the Espinoza land, his sights are set on the Castro rancho. Government agent Kearney holds him off till the cavalry shows up and he can declare his love for Juanita, called “the Rose of the Rancho.”",0.858,The magnificent dramatic classic!,"Romance, Western, Adventure",Jesse L. Lasky Feature Play Company,United States of America,"English, No Language","Monroe Salisbury, William C. de Mille, Jack W. Johnston, Jane Darwell, Bessie Barriscale, James Neill, Dick La Reno, William Elmer, Sydney Deane, Jeanie Macpherson, Al Ernest Garcia",Cecil B. DeMille,,"David Belasco, Richard Walton Tully, Cecil B. DeMille",,,2.9,55.0,/eQbfgtvQsCXRCIhFSOXNkxhoSys.jpg
618,The Birth of a Nation,6.0,584.0,Released,1915.0,11000000.0,193.0,100000.0,tt0004972,en,The Birth of a Nation,"Two families, abolitionist Northerners the Stonemans and Southern landowners the Camerons, intertwine. When Confederate colonel Ben Cameron is captured in battle, nurse Elsie Stoneman petitions for his pardon. In Reconstruction-era South Carolina, Cameron founds the Ku Klux Klan, battling Elsie's congressman father and his African-American protégé, Silas Lynch.",2.0239,The Fiery Cross of the Ku Klux Klan!,"Drama, History, War","Epoch Film Co., D.W. Griffith Productions, Epoch Productions",United States of America,No Language,"Mary Alden, Sam De Grasse, Monte Blue, Fred Burns, Robert Harron, Eugene Pallette, Harry Braham, George Beranger, Jules White, Bob Burns, George Siegmann, Dark Cloud, Betty Marsh, Leonore Cooper, Donald Crisp, Spottiswoode Aitken, Josephine Crowell, Donna Montran, Jennie Lee, Henry B. Walthall, Olga Grey, Violet Wilkey, Tom Wilson, Madame Sul-Te-Wan, Charles Stevens, Willam Freeman, Edmund Burns, Wallace Reid, Raoul Walsh, Peggy Cartwright, Miriam Cooper, Mae Marsh, Howard Gaye, Alma Rubens, Allan Sears, Walter Long, Elmo Lincoln, Joseph Henabery, David Butler, Edward Burns, Elmer Clifton, Maxfield Stanley, John Ford, Alberta Lee, Mary Wynn, Ralph Lewis, Charles Eagle Eye, William De Vaull, Lillian Gish",D.W. Griffith,"Joseph Carl Breil, Billy Bitzer","Thomas F. Dixon Jr., D.W. Griffith, Frank E. Woods","D.W. Griffith, H.E. Aitken","Jon Mirsalis, D.W. Griffith",6.1,28281.0,/pNpOXpQI5GSUfiWypubYtMh9928.jpg
70368,The Cheat,6.0,70.0,Released,1915.0,137365.0,59.0,17311.0,tt0005078,en,The Cheat,"A venal, spoiled stockbroker's wife impulsively embezzles $10,000 from the charity she chairs and desperately turns to a Burmese ivory trader to replace the stolen money.",0.9938,,Drama,"Jesse L. Lasky Feature Play Company, Paramount Pictures",United States of America,No Language,"Arthur H. Williams, Fannie Ward, Dana Ong, Raymond Hatton, Lucien Littlefield, Dick La Reno, Jack Dean, James Neill, Hazel Childers, Yutaka Abe, Sessue Hayakawa",Cecil B. DeMille,Alvin Wyckoff,"Jeanie Macpherson, Hector Turnbull","Jesse L. Lasky, Cecil B. DeMille",,6.5,3068.0,/1cnktg7gG1HutqKQ47jgcAWsP9R.jpg
563508,Temptation,0.0,0.0,Released,1915.0,102437.0,60.0,22472.0,tt0006140,en,Temptation,Opera singer Renee Dupree is in love with struggling composer Julian who falls very seriously ill. She goes to impresario Mueller for the money Julian needs but is saved from sacrificing her virtue when a jealous lover kills Mueller.,1.225,,"Drama, Romance",Jesse L. Lasky Feature Play Company,United States of America,No Language,"Sessue Hayakawa, Pedro de Cordoba, Raymond Hatton, Elsie Jane Wilson, Theodore Roberts, Geraldine Farrar",Cecil B. DeMille,Alvin Wyckoff,"Hector Turnbull, William C. de Mille",,,5.1,30.0,/xGCPx44te2cJqpYXmxJm4DeOmYz.jpg
402388,The Girl of the Golden West,5.5,6.0,Released,1915.0,102224.0,45.0,15110.0,tt0005393,en,The Girl of the Golden West,"A saloon hostess loves Ramerrez, a notorious highwayman. Sheriff Jack Rance, who loves the girl too, instigates a card game that will determine the fate of all three of them. If she wins, the girl's lover will go free; but if she loses…",0.766,,"Western, Romance",Jesse L. Lasky Feature Play Company,United States of America,"English, No Language","Richard L'Estrange, Sydney Deane, William Elmer, Tex Driscoll, House Peters, Theodore Roberts, Raymond Hatton, Mabel Van Buren, Anita King, Jeanie Macpherson",Cecil B. DeMille,,"David Belasco, Cecil B. DeMille",Cecil B. DeMille,,5.2,103.0,/nXhoKALkoyZ1CGpK9cHhKQHVqN8.jpg
30266,"20,000 Leagues Under the Sea",6.2,61.0,Released,1916.0,8000000.0,99.0,200000.0,tt0006333,en,"20,000 Leagues Under the Sea","Captain Nemo has built a fantastic submarine for his mission of revenge. He has traveled over 20,000 leagues in search of Charles Denver - a man who caused the death of Princess Daaker. Seeing what he had done, Denver took the daughter to his yacht and sailed away.",0.9382,The First Submarine Photoplay Ever Filmed,"Adventure, Drama, Action, Science Fiction",The Universal Film Mfg. Co.,United States of America,No Language,"Leviticus Jones, Wallace Clarke, Dan Hanlon, Joseph W. Girard, Jane Gail, Lois Alexander, Martin Murphy, Ole Jansen, William Welsh, Howard Crampton, Edna Pendleton, Matt Moore, Curtis Benton, Allen Holubar",Stuart Paton,"Friend Baker, J. Ernest Williamson, Milton Loryea",Jules Verne,Carl Laemmle,,6.1,2243.0,/edY5eDCC08OUKjS0k7zWUxYM9BB.jpg
3059,Intolerance: Love's Struggle Throughout the Ages,7.1,371.0,Released,1916.0,1750000.0,197.0,385907.0,tt0006864,en,Intolerance: Love's Struggle Throughout the Ages,"The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.",1.3826,The Cruel Hand of Intolerance,"Drama, History","Triangle Film Corporation, Wark Producing Corp.",United States of America,No Language,"Olga Grey, Alberta Lee, Karl Brown, Gino Corrado, Edward Burns, Peggy Cartwright, Elmer Clifton, Owen Moore, Mae Marsh, Margery Wilson, Tom Wilson, Winifred Westover, Frank Borzage, Jennie Lee, Kate Bruce, Grace Wilson, Miriam Cooper, Sam De Grasse, Erich von Stroheim, Robert Harron, King Vidor, Natalie Talmadge, Julia Mackley, Frank Bennett, William Courtright, Dore Davidson, Frank Campeau, Max Davidson, Howard Gaye, George Walsh, Noble Johnson, Francis Carpenter, Seena Owen, George Siegmann, Raymond Wells, Eugene Pallette, Joseph Henabery, Kitty Bradbury, Wilfred Lucas, Mary Alden, Maxfield Stanley, Clarence Geldart, Donald Crisp, Walter Long, Elmo Lincoln, Russell Hicks, 'Baby' Carmen De Rue, Eve Southern, Frank Brownlee, Daisy Jefferson, Carmel Myers, Lillian Langdon, Herbert Sutch, Madame Sul-Te-Wan, Nigel De Brulier, Constance Collier, Constance  Talmadge, Erich von Ritzau, Lloyd Ingraham, F.A. Turner, Monte Blue, John P. McCarthy, Tod Browning, Ruth Darling, Alma Rubens, Tammany Young, Allan Sears, Tully Marshall, Douglas Fairbanks, Spottiswoode Aitken, Carol Dempster, Clyde E. Hopkins, Marguerite Marsh, Jewel Carmen, Julia Faye, Ethel Grey Terry, Loyola O'Connor, Edward Dillon, Virginia Lee Corbin, W.E. Lawrence, Pauline Starke, Sylvia Ashton, David Butler, Billy Quirk, George Fawcett, Francis McDonald, Mildred Harris, Dell Henderson, Vester Pegg, Wallace Reid, Ruth Handforth, W.S. Van Dyke, DeWolf Hopper Sr., Chandler House, Pearl Elmore, Lillian Gish, Alfred Paget, Vera Lewis, Herbert Beerbohm Tree, Ralph Lewis, Hal Wilson, Carl Stockdale, William H. Brown, Taylor N. Duncan, George Beranger, Josephine Crowell, Bessie Love",D.W. Griffith,Billy Bitzer,"Anita Loos, D.W. Griffith, Frank E. Woods, Tod Browning",,,7.6,17955.0,/lJCabs4TMOsKfnl0BmA5Hf16Ezb.jpg
